Experiment_ID,Architecture,Optimizer,Epochs,Activation,Scheduler,Loss_Function,Noise_Level,Data_Points,weigthed,Execution_Time(s),Final_Total_Loss,Final_Physics_Loss,Final_Data_Loss,Final_BC_Loss,MAE,L2_Error,True_K,Estimated_K,Rel_Error_K
Poisson_Inverse_GELU_N5_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,50,True,83.80776643753052,7.1639445300722186e-06,2.574780341273338e-06,3.973361378915857e-06,6.158028098830241e-07,5.389312616682148,0.0249487449678124,1.0,0.9684564677663675,3.1543532233632487
Poisson_Inverse_GELU_N5_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,100,False,83.40881657600403,9.41819788846868e-06,2.858851326188578e-06,5.94152503268695e-06,6.178215295931527e-07,7.7546141211187,0.01745228048921226,1.0,1.0095392836648966,0.9539283664896647
Poisson_Inverse_GELU_N5_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,100,True,84.19118428230286,1.1183883974211095e-05,4.892752116083262e-06,5.898773490093005e-06,3.9235836803482884e-07,6.7537460799058096,0.023124336496599975,1.0,0.9786524319260659,2.134756807393412
Poisson_Inverse_GELU_N5_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,500,False,83.67419409751892,1.6439968279369753e-05,7.636147852103302e-06,7.620079713001517e-06,1.1837407142649365e-06,8.235918946053019,0.021718927561834904,1.0,0.9784371081915917,2.1562891808408313
Poisson_Inverse_GELU_N5_P500_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.05,500,True,84.21668553352356,9.292281734262256e-06,2.219643975336942e-06,6.252966424106296e-06,8.196713348190173e-07,7.844709893642814,0.017782035146754013,1.0,0.9940554227031544,0.594457729684561
Poisson_Inverse_GELU_N10_P50_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,50,False,87.54920053482056,2.96042830059663e-05,4.254574114910346e-06,2.487373281141057e-05,4.759760796453856e-07,9.524291661959378,0.015434543709820588,1.0,1.0011260659415206,0.11260659415206486
Poisson_Inverse_GELU_N10_P50_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,50,True,82.79204106330872,3.783042268296234e-05,4.095758693638001e-06,3.249368321365033e-05,1.240980775674013e-06,8.932541201090306,0.025450514718625514,1.0,0.9997800370994283,0.021996290057169077
Poisson_Inverse_GELU_N10_P100_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,100,False,82.81303596496582,2.4210676182997666e-05,5.602682783199392e-06,1.8009188833972164e-05,5.988045658261096e-07,5.620699605989337,0.015635761256791142,1.0,1.0003608668399135,0.036086683991354285
Poisson_Inverse_GELU_N10_P100_Bal,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,100,True,83.22758626937866,2.8248827539818312e-05,6.006707193200879e-06,2.1697396142523308e-05,5.447242040941256e-07,8.327380801172394,0.030144067959843274,1.0,0.9640435238312416,3.595647616875841
Poisson_Inverse_GELU_N10_P500_Std,"[2, 50, 50, 50, 50, 1]",Adam+LBFGS,5000,GELU,None,MSE,0.1,500,False,83.44952511787415,4.030806081092649e-05,1.4055756716426855e-05,2.5301624071044232e-05,9.506800234554037e-07,8.592889406957578,0.020079518984626895,1.0,1.0101508653140077,1.0150865314007662
